T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Fe,Fe,Ni,Co,Fe,Fe,Ni,Mo,Fe,Cu,-1.559240825,CHO
Fe,Fe,Co,Fe,Ni,Ni,Fe,Fe,Cu,Ni,-1.866187325,CHO
Fe,Fe,Ni,Ni,Fe,Fe,Co,Fe,Cu,Ni,-1.520833645,CHO
Fe,Ni,Ni,Fe,Fe,Co,Fe,Fe,Cu,Ni,-1.634498425,CHO
Fe,Ni,Fe,Fe,Co,Fe,Ni,Fe,Cu,Ni,-1.827940285,CHO
Fe,Fe,Co,Cu,Ni,Fe,Ni,Mo,Ni,Cu,-1.545639725,CHO
Fe,Fe,Ni,Fe,Co,Cu,Ni,Mo,Ni,Cu,-1.574084575,CHO
Ni,Fe,Cu,Co,Fe,Fe,Fe,Fe,Cu,Fe,-1.458853365,CHO
Ni,Cu,Co,Fe,Fe,Fe,Fe,Fe,Cu,Fe,-1.167634665,CHO
Ni,Co,Fe,Fe,Fe,Fe,Cu,Fe,Cu,Fe,-1.444915145,CHO
Ni,Fe,Fe,Fe,Fe,Cu,Co,Fe,Cu,Fe,-1.730813315,CHO
Ni,Fe,Fe,Fe,Cu,Co,Fe,Fe,Cu,Fe,-1.489262715,CHO
Ni,Fe,Fe,Cu,Co,Fe,Fe,Fe,Cu,Fe,-1.497290515,CHO
Ni,Fe,Mo,Cu,Ni,Ni,Cu,Fe,Co,Co,-1.73373,CO
Ni,Ni,Co,Mo,Fe,Fe,Ni,Co,Co,Fe,-1.81534,CO
Fe,Cu,Fe,Mo,Fe,Cu,Mo,Cu,Cu,Fe,-2.1616,CO
Fe,Fe,Mo,Co,Fe,Mo,Cu,Fe,Ni,Cu,-2.18062,CO
Fe,Fe,Cu,Ni,Cu,Fe,Mo,Co,Mo,Mo,-2.09367,CO
Fe,Ni,Ni,Fe,Mo,Fe,Cu,Ni,Fe,Cu,-2.06725,CO
Fe,Ni,Mo,Fe,Fe,Mo,Fe,Fe,Cu,Cu,-2.2331,CO
Fe,Fe,Fe,Mo,Ni,Cu,Mo,Cu,Ni,Fe,-2.22562,CO
Fe,Mo,Fe,Cu,Mo,Fe,Fe,Cu,Mo,Ni,-2.2018,CO
Mo,Fe,Fe,Fe,Cu,Fe,Fe,Cu,Cu,Ni,-2.1719,CO
Mo,Fe,Cu,Fe,Cu,Ni,Fe,Ni,Cu,Co,-2.07622,CO
Mo,Cu,Fe,Fe,Fe,Fe,Ni,Co,Cu,Cu,-2.15504,CO
Fe,Mo,Cu,Mo,Fe,Cu,Co,Cu,Cu,Co,-2.21385,CO
Fe,Fe,Mo,Mo,Fe,Cu,Cu,Cu,Cu,Co,-1.9463,CO
Fe,Co,Cu,Cu,Fe,Cu,Cu,Ni,Fe,Fe,-1.89594,CO
Fe,Fe,Cu,Ni,Cu,Mo,Cu,Fe,Cu,Co,-2.04031,CO
Mo,Fe,Cu,Cu,Fe,Co,Ni,Cu,Co,Cu,-2.09785,CO
Mo,Mo,Cu,Co,Cu,Fe,Fe,Cu,Fe,Co,-1.96919,CO
Cu,Mo,Co,Fe,Cu,Mo,Fe,Co,Ni,Co,-2.01245,CO
Cu,Fe,Ni,Co,Co,Mo,Mo,Co,Fe,Fe,-2.24777,CO
Co,Cu,Co,Cu,Fe,Cu,Mo,Fe,Cu,Ni,-2.18175,CO
Co,Ni,Mo,Fe,Cu,Co,Cu,Fe,Cu,Cu,-2.11998,CO
Ni,Fe,Cu,Cu,Fe,Cu,Co,Fe,Co,Co,-1.83457,CO
Ni,Co,Fe,Fe,Fe,Cu,Cu,Mo,Ni,Fe,-1.74058,CO
Fe,Ni,Cu,Mo,Fe,Fe,Cu,Co,Cu,Cu,-2.15215,CO
Fe,Fe,Mo,Mo,Fe,Fe,Fe,Cu,Cu,Cu,-2.159,CO
Fe,Fe,Mo,Cu,Ni,Co,Fe,Cu,Ni,Fe,-2.04643,CO
Fe,Ni,Fe,Co,Cu,Mo,Cu,Fe,Cu,Co,-2.08525,CO
Fe,Cu,Fe,Fe,Fe,Ni,Co,Fe,Cu,Ni,-2.00521,CO
Fe,Fe,Fe,Fe,Co,Fe,Ni,Ni,Cu,Cu,-2.0154,CO
Mo,Cu,Fe,Cu,Mo,Fe,Fe,Cu,Co,Cu,-2.18904,CO
Mo,Mo,Cu,Co,Cu,Fe,Fe,Cu,Fe,Ni,-1.9281,CO
Cu,Mo,Co,Ni,Cu,Ni,Fe,Ni,Mo,Co,-2.04627,CO
Cu,Cu,Ni,Fe,Mo,Fe,Ni,Co,Fe,Cu,-2.18518,CO
Cu,Fe,Co,Cu,Co,Mo,Mo,Co,Cu,Fe,-0.82876,CO
Cu,Co,Ni,Fe,Fe,Co,Cu,Cu,Co,Fe,-2.07482,CO
Co,Cu,Cu,Fe,Ni,Cu,Mo,Fe,Fe,Mo,-2.09155,CO
Co,Fe,Fe,Ni,Cu,Cu,Fe,Cu,Fe,Cu,-2.07523,CO
Ni,Fe,Cu,Cu,Ni,Ni,Cu,Fe,Co,Co,-1.79643,CO
Ni,Ni,Cu,Mo,Fe,Fe,Ni,Co,Co,Fe,-1.82978,CO
Fe,Cu,Fe,Mo,Fe,Cu,Cu,Cu,Cu,Fe,-2.13153,CO
Fe,Fe,Mo,Cu,Fe,Mo,Cu,Fe,Ni,Cu,-2.19607,CO
Fe,Fe,Cu,Ni,Cu,Fe,Mo,Cu,Mo,Mo,-2.11409,CO
Fe,Ni,Ni,Fe,Mo,Fe,Cu,Cu,Fe,Cu,-2.09662,CO
Fe,Ni,Mo,Fe,Fe,Mo,Fe,Fe,Cu,Cu,-2.19999,CO
Fe,Fe,Fe,Cu,Ni,Cu,Mo,Cu,Ni,Fe,-2.18362,CO
Fe,Mo,Fe,Cu,Cu,Fe,Fe,Cu,Mo,Ni,-2.1531,CO
Mo,Fe,Fe,Fe,Cu,Fe,Fe,Cu,Cu,Ni,-2.17956,CO
Mo,Cu,Fe,Fe,Fe,Fe,Ni,Co,Cu,Cu,-2.14791,CO
Cu,Fe,Cu,Fe,Cu,Ni,Fe,Ni,Cu,Co,-0.90924,CO
Ni,Ni,Ni,Co,Ni,Co,Co,Fe,Fe,Fe,-1.70332,CO
Fe,Ni,Cu,Mo,Ni,Cu,Co,Cu,Fe,Ni,-2.09774,CO
Fe,Cu,Cu,Co,Cu,Cu,Co,Ni,Ni,Fe,-1.87464,CO
Mo,Cu,Cu,Co,Ni,Ni,Fe,Cu,Cu,Co,-2.12938,CO
Co,Ni,Cu,Fe,Fe,Ni,Ni,Fe,Ni,Ni,-2.01904,CO
Co,Cu,Co,Co,Cu,Ni,Mo,Cu,Ni,Co,-2.17998,CO
Co,Co,Ni,Fe,Cu,Cu,Co,Ni,Cu,Cu,-2.15046,CO
Co,Cu,Ni,Ni,Co,Cu,Fe,Ni,Fe,Co,-2.0655,CO
Co,Co,Ni,Ni,Co,Co,Cu,Co,Fe,Ni,-1.96116,CO
Fe,Mo,Cu,Mo,Fe,Cu,Co,Cu,Cu,Co,-2.21508,CO
Fe,Fe,Mo,Mo,Fe,Cu,Cu,Co,Cu,Co,-1.94674,CO
Fe,Fe,Mo,Cu,Mo,Ni,Cu,Co,Co,Cu,-2.1305,CO
Fe,Co,Cu,Cu,Fe,Cu,Cu,Ni,Fe,Fe,-1.89583,CO
Fe,Fe,Cu,Ni,Cu,Mo,Cu,Fe,Cu,Co,-2.03897,CO
Mo,Fe,Cu,Cu,Fe,Co,Ni,Cu,Co,Cu,-2.09572,CO
Mo,Cu,Fe,Cu,Mo,Fe,Fe,Cu,Co,Cu,-2.24465,CO
Mo,Mo,Cu,Co,Cu,Fe,Fe,Cu,Fe,Co,-1.96924,CO
Cu,Fe,Ni,Co,Co,Mo,Mo,Co,Fe,Fe,-2.24505,CO
Co,Cu,Co,Cu,Fe,Cu,Mo,Fe,Cu,Ni,-1.00722,CO
Co,Ni,Mo,Fe,Cu,Co,Cu,Fe,Cu,Cu,-2.11977,CO
Ni,Fe,Mo,Cu,Fe,Fe,Fe,Fe,Co,Co,-1.75002,CO
Fe,Ni,Co,Mo,Ni,Fe,Mo,Cu,Cu,Fe,-2.15883,CO
Fe,Cu,Ni,Mo,Co,Cu,Mo,Ni,Fe,Fe,-2.06856,CO
Fe,Fe,Ni,Fe,Ni,Cu,Mo,Cu,Co,Fe,-2.03779,CO
Fe,Mo,Fe,Ni,Fe,Mo,Co,Cu,Fe,Cu,-2.17305,CO
Mo,Co,Cu,Fe,Cu,Ni,Fe,Cu,Ni,Co,-1.9903,CO
Mo,Co,Fe,Fe,Cu,Co,Fe,Cu,Cu,Fe,-2.0515,CO
Co,Fe,Mo,Cu,Mo,Fe,Ni,Mo,Fe,Cu,-2.17111,CO
Co,Fe,Mo,Fe,Mo,Fe,Cu,Fe,Cu,Cu,-2.1573,CO
Ni,Fe,Ni,Cu,Fe,Ni,Co,Cu,Cu,Fe,-1.72429,CO
Ni,Ni,Cu,Co,Cu,Ni,Fe,Fe,Ni,Cu,-1.76614,CO
Ni,Cu,Cu,Ni,Ni,Co,Fe,Ni,Ni,Fe,-1.8683,CO
Ni,Ni,Ni,Cu,Ni,Fe,Co,Fe,Fe,Fe,-1.71896,CO
Fe,Co,Ni,Ni,Ni,Co,Fe,Cu,Fe,Cu,-1.89196,CO
Fe,Ni,Cu,Ni,Co,Cu,Ni,Cu,Ni,Ni,-1.78256,CO
Cu,Ni,Fe,Co,Fe,Co,Cu,Cu,Ni,Cu,-0.89452,CO
Cu,Ni,Co,Cu,Ni,Fe,Ni,Cu,Cu,Ni,-0.92362,CO
Cu,Ni,Ni,Cu,Co,Ni,Ni,Fe,Cu,Ni,-0.88409,CO
Co,Fe,Fe,Ni,Ni,Ni,Cu,Fe,Cu,Mo,-2.03186,CO
Co,Fe,Ni,Ni,Fe,Fe,Cu,Ni,Fe,Cu,-2.14164,CO
Co,Cu,Cu,Fe,Cu,Cu,Ni,Ni,Cu,Cu,-2.2856,CO
Ni,Fe,Mo,Cu,Fe,Fe,Ni,Fe,Co,Co,-1.79788,CO
Ni,Fe,Fe,Ni,Fe,Fe,Cu,Fe,Cu,Fe,-1.80512,CO
Ni,Co,Mo,Ni,Ni,Fe,Ni,Cu,Cu,Fe,-2.0953,CO
Fe,Cu,Ni,Fe,Co,Cu,Mo,Ni,Fe,Fe,-2.02186,CO
Fe,Ni,Ni,Fe,Ni,Cu,Cu,Cu,Co,Fe,-1.78874,CO
Fe,Ni,Ni,Fe,Ni,Co,Fe,Fe,Cu,Cu,-1.93074,CO
Mo,Co,Cu,Fe,Cu,Ni,Fe,Cu,Ni,Co,-2.05907,CO
Co,Cu,Co,Cu,Co,Ni,Fe,Cu,Cu,Mo,-2.06476,CO
Co,Co,Cu,Cu,Mo,Fe,Ni,Ci,Fe,Cu,-2.13751,CO
Co,Fe,Fe,Ni,Cu,Co,Cu,Fe,Cu,Cu,-2.14899,CO
Ni,Ni,Ni,Fe,Fe,Cu,Cu,Fe,Fe,Fe,-1.75142,CO
Fe,Cu,Co,Cu,Co,Cu,Fe,Ni,Cu,Fe,-1.98383,CO
Fe,Cu,Fe,Fe,Co,Cu,Mo,Cu,Fe,Mo,-2.10413,CO
Fe,Fe,Cu,Cu,Ni,Co,Fe,Cu,Cu,Fe,-1.9116,CO
Fe,Ni,Fe,Cu,Fe,Fe,Cu,Fe,Fe,Cu,-1.99537,CO
Co,Cu,Fe,Cu,Ni,Cu,Co,Co,Cu,Cu,-2.11682,CO
Co,Fe,Cu,Cu,Mo,Cu,Cu,Fe,Co,Co,-2.1881,CO
Co,Fe,Fe,Ni,Cu,Fe,Cu,Fe,Fe,Cu,-2.07913,CO
