T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Fe,Fe,Ni,Cu,Cu,Cu,Ni,Mo,Mo,Cu,-0.790714705,COOH
Fe,Cu,Cu,Cu,Ni,Fe,Ni,Mo,Mo,Cu,-0.525253055,COOH
Fe,Cu,Cu,Ni,Fe,Ni,Cu,Mo,Mo,Cu,-0.348422385,COOH
Fe,Cu,Ni,Fe,Ni,Cu,Cu,Mo,Mo,Cu,-0.377562675,COOH
Fe,Ni,Fe,Ni,Cu,Cu,Cu,Mo,Mo,Cu,-0.414250435,COOH
Ni,Fe,Fe,Cu,Co,Cu,Cu,Mo,Cu,Fe,-0.854537055,COOH
Ni,Fe,Cu,Co,Cu,Cu,Fe,Mo,Cu,Fe,-0.780269275,COOH
Ni,Cu,Co,Cu,Cu,Fe,Fe,Mo,Cu,Fe,-0.398522695,COOH
Ni,Co,Cu,Cu,Fe,Fe,Cu,Mo,Cu,Fe,-0.628396685,COOH
Ni,Cu,Cu,Fe,Fe,Cu,Co,Mo,Cu,Fe,-0.463814075,COOH
Cu,Fe,Cu,Ni,Co,Co,Cu,Fe,Fe,Mo,-0.298701335,COOH
Cu,Ni,Co,Co,Cu,Fe,Cu,Fe,Fe,Mo,-0.104581145,COOH
Cu,Co,Co,Cu,Fe,Cu,Ni,Fe,Fe,Mo,-0.168657045,COOH
Cu,Co,Cu,Fe,Cu,Ni,Co,Fe,Fe,Mo,-0.210159885,COOH
Cu,Cu,Fe,Cu,Ni,Co,Co,Fe,Fe,Mo,-0.103804595,COOH
Co,Cu,Co,Co,Co,Cu,Cu,Mo,Fe,Cu,-0.596847385,COOH
Co,Co,Co,Co,Cu,Cu,Cu,Mo,Fe,Cu,-0.722052625,COOH
Co,Co,Co,Cu,Cu,Cu,Co,Mo,Fe,Cu,-0.684801255,COOH
Co,Co,Cu,Cu,Cu,Co,Co,Mo,Fe,Cu,-0.625551875,COOH
Co,Cu,Cu,Cu,Co,Co,Co,Mo,Fe,Cu,-0.562364405,COOH
Co,Cu,Cu,Co,Co,Co,Cu,Mo,Fe,Cu,-0.575653135,COOH
Cu,Cu,Co,Co,Co,Cu,Fe,Mo,Cu,Mo,-0.035987455,COOH
Cu,Co,Co,Co,Cu,Fe,Cu,Mo,Cu,Mo,-0.189063315,COOH
Cu,Co,Co,Cu,Fe,Cu,Co,Mo,Cu,Mo,-0.211105285,COOH
Cu,Fe,Cu,Co,Co,Co,Cu,Mo,Cu,Mo,-0.251025835,COOH
Co,Ni,Cu,Fe,Co,Co,Cu,Fe,Cu,Fe,-0.731391855,COOH
Co,Fe,Co,Co,Cu,Ni,Cu,Fe,Cu,Fe,-0.731282865,COOH
Co,Co,Co,Cu,Ni,Cu,Fe,Fe,Cu,Fe,-0.723867985,COOH
